Species,Order,Family,Genus,EADDC,BDT C,UDT
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,148.1,9.6,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,155.2,9.8,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,, ,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,, ,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,, ,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,, ,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,, ,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,, ,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,, ,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,, ,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,, ,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,, ,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,, ,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,, ,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,, ,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,142.2,9.87,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,141.73,9.94,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,141.5,11.3,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,144.3,11.4,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,140.1,11.5,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,139.5,11.7,
Drosophila mercatorum,Diptera,Drosophilidae,Drosophila,289.1,3.1,
Drosophila mercatorum,Diptera,Drosophilidae,Drosophila,273.7,3.2,
Drosophila mercatorum,Diptera,Drosophilidae,Drosophila,256.4,4.2,
Drosophila prostipennis,Diptera,Drosophilidae,Drosophila,151.5,8,
Drosophila rufa,Diptera,Drosophilidae,Drosophila,250.1,7.7,
Drosophila simulans,Diptera,Drosophilidae,Drosophila,146,10.5,
Drosophila simulans,Diptera,Drosophilidae,Drosophila,193.7,6.7,
Drosophila simulans,Diptera,Drosophilidae,Drosophila,131.42,9.99,
Drosophila simulans,Diptera,Drosophilidae,Drosophila,131.16,10.02,
Drosophila takahashii,Diptera,Drosophilidae,Drosophila,121.6,9.8,
Drosophila takahashii,Diptera,Drosophilidae,Drosophila,153.4,7.9,
Drosophila takahashii,Diptera,Drosophilidae,Drosophila,149.2,8.3,
Drosophila takahashii,Diptera,Drosophilidae,Drosophila,149.22,7.91,
Drosophila trilutea,Diptera,Drosophilidae,Drosophila,167.4,7.4,
Zaprionus indiana,Diptera,Drosophilidae,Zaprionus,215.1,10.2,
Chaoborus flavicans,Diptera,Chaoboridae,Chaoborus,,,
Cricotopus bicinctus,Diptera,Chironomidae,Cricotopus,,,
Cricotopus sylvestris,Diptera,Chironomidae,Cricotopus,,,
Glyptotendipes paripes,Diptera,Chironomidae,Glyptotendipes,1147.54,-0.63,
Glyptotendipes paripes,Diptera,Chironomidae,Glyptotendipes,853.96,4.96,35
Chironomus tepperi,Diptera,Chironomidae,Chironomus,199.81,8.5,
Chironomus tepperi,Diptera,Chironomidae,Chironomus,166.8,9.35,
Phaenopsectra flavipes,Diptera,Chironomidae,Phaenopsectra,,,
Polypedilum convictum,Diptera,Chironomidae,Polypedilum,,,
Rheotanytarsus photophilus,Diptera,Chironomidae,Rheotanytarsus,,,
Synorthocladius semivirens,Diptera,Chironomidae,Synorthocladius,,,
Hippelates bishoppi,Diptera,Chloropidae,Hippelates,259.2,13.4,
Hippelates pallipes,Diptera,Chloropidae,Hippelates,172.8,16.3,
Hippelates pusio,Diptera,Chloropidae,Hippelates,190.2,15.8,
Oscinella frit,Diptera,Chloropidae,Oscinella,429.2,10.6,
Oscinella frit,Diptera,Chloropidae,Oscinella,,10,29
Atherigona soccata,Diptera,Muscidae,Atherigona,399.25,9.12,
Atherigona soccata,Diptera,Muscidae,Atherigona,400,9.2,
Atherigona soccata,Diptera,Muscidae,Atherigona,342.9,10.2,
Atherigona soccata,Diptera,Muscidae,Atherigona,342.9,10.2,
Fannia canicularis,Diptera,Muscidae,Fannia,572,0.5,
Fannia femoralis,Diptera,Muscidae,Fannia,359,4.9,
Haematobia irritans,Diptera,Muscidae,Haematobia,,,
Haematobia irritans exigua,Diptera,Muscidae,Haematobia,,,
Haematobia irritans exigua,Diptera,Muscidae,Haematobia,,,
Haematobia irritans irritans,Diptera,Muscidae,Haematobia,154.34,12.43,
Haematobia irritans irritans,Diptera,Muscidae,Haematobia,146.31,12.81,
Haematobia irritans irritans,Diptera,Muscidae,Haematobia,212.3,10.2,
Haematobia irritans irritans,Diptera,Muscidae,Haematobia,162,10.7,
Haematobia thirouxi potans,Diptera,Muscidae,Haematobia,184.1,11.1,
Musca autumnalis,Diptera,Muscidae,Musca,,9.8,
Musca autumnalis,Diptera,Muscidae,Musca,197,10.1,
Musca domestica,Diptera,Muscidae,Musca,177.9,11,
Musca domestica,Diptera,Muscidae,Musca,169.5,11.2,
Musca domestica,Diptera,Muscidae,Musca,168.4,11.4,
Musca domestica,Diptera,Muscidae,Musca,, ,
Musca vetustissima,Diptera,Muscidae,Musca,,,
Stomoxys calcitrans,Diptera,Muscidae,Stomoxys,193.3,11.98,
Gasterophilus intestinalis,Diptera,Oestridae,Gasterophilus,,,
Hypoderma bovis,Diptera,Oestridae,Hypoderma,,,
Hypoderma lineatum,Diptera,Oestridae,Hypoderma,,,
Tetanops myopaeformis,Diptera,Otitidae,Tetanops,, ,
Megaselia scalaris,Diptera,Phoridae,Megaselia,431.4,12.1,
Megaselia scalaris,Diptera,Phoridae,Megaselia,428.9,12.2,
Psila rosae,Diptera,Psilidae,Psila,932.79,4.11,
Psila rosae,Diptera,Psilidae,Psila,1082.1,2.5,
Psila rosae,Diptera,Psilidae,Psila,1121.4,1.2,
Psila rosae,Diptera,Psilidae,Psila,, ,
Psila rosae,Diptera,Psilidae,Psila,, ,
Parasarcophaga knabi,Diptera,Sarcophagidae,Parasarcophaga,339.8,10.1,
Parasarcophaga ruficornis,Diptera,Sarcophagidae,Parasarcophaga,, ,
Sarcophaga bullata,Diptera,Sarcophagidae,Sarcophaga,,12,
Sarcophaga crassipalpis,Diptera,Sarcophagidae,Sarcophaga,,,
Sarcophaga crassipalpis,Diptera,Sarcophagidae,Sarcophaga,, ,
Scatophaga steroraria,Diptera,Scathophagidae ,Scatophaga,451.03,1.69,
Scatophaga steroraria,Diptera,Scathophagidae ,Scatophaga,402.66,2.35,
Bradysia impatiens,Diptera,Sciaridae,Bradysia,567.9,-0.9,
Bradysia impatiens,Diptera,Sciaridae,Bradysia,431.3,3.3,
Bradysia sp.,Diptera,Sciaridae,Bradysia,472.64,2.03,
Sepedon fuscipennis,Diptera,Sciomyzidae,Sepedon,308.7,9.8,
Boophtora erythrocephala,Diptera,Simuliidae,Boophtora,,,
Odagmia ornata,Diptera,Simuliidae,Odagmia,, ,
Prosimulium kiotoense,Diptera,Simuliidae,Prosimulium,, ,
Simulium arcticum,Diptera,Simuliidae,Simulium,, ,
Simulium kawamurae,Diptera,Simuliidae,Simulium,, ,
Simulium nigritarse,Diptera,Simuliidae,Simulium,, ,
Simulium noelleri,Diptera,Simuliidae,Simulium,,,
Episyrphus balteatus,Diptera,Syrphidae,Episyrphus,334.2,4.9,
Episyrphus balteatus,Diptera,Syrphidae,Episyrphus,261,6.8,
Episyrphus balteatus,Diptera,Syrphidae,Episyrphus,, ,
Eupeodes corollae,Diptera,Syrphidae,Eupeodes,341.08,3.6,
Eupeodes corollae,Diptera,Syrphidae,Eupeodes,327.9,3.9,
Eupeodes corollae,Diptera,Syrphidae,Eupeodes,, ,
Melangyna viridiceps,Diptera,Syrphidae,Melangyna,, ,
Melanostoma mellinum,Diptera,Syrphidae,Melanostoma,, ,
Merodon equestris,Diptera,Syrphidae,Merodon,,,
Scaeva pyrastri,Diptera,Syrphidae,Scaeva,42.3,5.4,
Scaeva pyrastri,Diptera,Syrphidae,Scaeva,, ,
Scaeva pyrastri,Diptera,Syrphidae,Scaeva,, ,
Sphaerophoria scripta,Diptera,Syrphidae,Sphaerophoria,, ,
Symosyrphus grandicornis,Diptera,Syrphidae,Symosyrphus,318.09,4.65,
Syrphus ribesii,Diptera,Syrphidae,Syrphus,333.3,7.1,
Tabanus taeniola,Diptera,Tabanidae,Tabanus,, ,
Bessa parallela,Diptera,Tachinidae,Bessa,395.46,4.72,
Bessa parallela,Diptera,Tachinidae,Bessa,319.73,6.27,
Compsilura concinnata,Diptera,Tachinidae,Compsilura,,,
Exorista mella,Diptera,Tachinidae,Exorista,289.5,10.8,
Leschenaultia adusta,Diptera,Tachinidae,Leschenaultia,538.6,8.3,
Leschenaultia adusta,Diptera,Tachinidae,Leschenaultia,566.7,8.6,
Lixophaga diatraeae,Diptera,Tachinidae,Lixophaga,,,
Lixophaga diatraeae,Diptera,Tachinidae,Lixophaga,,,
Lixophaga diatraeae,Diptera,Tachinidae,Lixophaga,123.7,9.7,
Lixophaga diatraeae,Diptera,Tachinidae,Lixophaga,110.2,10.8,
Lydella thompsoni,Diptera,Tachinidae,Lydella,, ,
Palexorista laxa,Diptera,Tachinidae,Palexorista,217.7,10.8,
Peleteria robusta,Diptera,Tachinidae,Peleteria,457.7,9.3,
Voria ruralis,Diptera,Tachinidae,Voria,208.6,9.2,
Winthemia fumiferanae,Diptera,Tachinidae,Winthemia,,,
Winthemia fumiferanae,Diptera,Tachinidae,Winthemia,,,
Winthemia fumiferanae,Diptera,Tachinidae,Winthemia,,,
Anastrepha fraterculus,Diptera,Tephritidae,Anastrepha,,10.75,
Anastrepha fraterculus,Diptera,Tephritidae,Anastrepha,430.58,10.72,
Anastrepha ludens,Diptera,Tephritidae,Anastrepha,607.2,9.4,
Anastrepha ludens,Diptera,Tephritidae,Anastrepha,, ,
Anastrepha serpentina,Diptera,Tephritidae,Anastrepha,609.3,9.5,30
Anastrepha suspensa,Diptera,Tephritidae,Anastrepha,249.2,10.5,
Bactrocera cucurbitae,Diptera,Tephritidae,Bactrocera,,8.1,
Bactrocera cucurbitae,Diptera,Tephritidae,Bactrocera,252,10,
Bactrocera dorsalis,Diptera,Tephritidae,Bactrocera,, ,
Bactrocera dorsalis,Diptera,Tephritidae,Bactrocera,304,9.9,
Bactrocera dorsalis,Diptera,Tephritidae,Bactrocera,365,6.8,
Bactrocera latifrons,Diptera,Tephritidae,Bactrocera,344,10.4,
Bactrocera oleae,Diptera,Tephritidae,Bactrocera,, ,
Bactrocera oleae,Diptera,Tephritidae,Bactrocera,,12,
Bactrocera oleae,Diptera,Tephritidae,Bactrocera,, ,
Bactrocera oleae,Diptera,Tephritidae,Bactrocera,, ,
Bactrocera tau,Diptera,Tephritidae,Bactrocera,, ,
Bactrocera tryoni,Diptera,Tephritidae,Bactrocera,,13.5,
Bactrocera tryoni,Diptera,Tephritidae,Bactrocera,, ,
Bactrocera tryoni,Diptera,Tephritidae,Bactrocera,,13.5,
Bactrocera tryoni,Diptera,Tephritidae,Bactrocera,,12,36
Bactrocera zonata,Diptera,Tephritidae,Bactrocera,301.1,10.8,
Ceratitis capitata,Diptera,Tephritidae,Ceratitis,284.4,11.6,
Ceratitis capitata,Diptera,Tephritidae,Ceratitis,251.7,10.45,
Ceratitis capitata,Diptera,Tephritidae,Ceratitis,31.1,11,
Ceratitis capitata,Diptera,Tephritidae,Ceratitis,269.34,12.6,35.09
Ceratitis capitata,Diptera,Tephritidae,Ceratitis,, ,
Ceratitis capitata,Diptera,Tephritidae,Ceratitis,, ,
Ceratitis capitata,Diptera,Tephritidae,Ceratitis,226.8,16.2,
Ceratitis capitata,Diptera,Tephritidae,Ceratitis,,,
Ceratitis capitata,Diptera,Tephritidae,Ceratitis,,,
Ceratitis capitata,Diptera,Tephritidae,Ceratitis,326.6,10.6,
Ceratitis capitata,Diptera,Tephritidae,Ceratitis,,9.7,
Ceratitis capitata,Diptera,Tephritidae,Ceratitis,285,9.5,
Ceratitis catoirii,Diptera,Tephritidae,Ceratitis,340.67,9.51,
Ceratitis rosa,Diptera,Tephritidae,Ceratitis,410.65,7.92,
Dacus cucurbitae,Diptera,Tephritidae,Dacus,16.9,10.2,
Dacus cucurbitae,Diptera,Tephritidae,Dacus,, ,
Dacus dorsalis,Diptera,Tephritidae,Dacus,21.2,11.5,
Dacus oleae,Diptera,Tephritidae,Dacus,,,
Dacus oleae,Diptera,Tephritidae,Dacus,261.4,12.2,
Dacus oleae,Diptera,Tephritidae,Dacus,,,
Dacus oleae,Diptera,Tephritidae,Dacus,,,
Rhagoletis cerasi,Diptera,Tephritidae,Rhagoletis,430,5,
Rhagoletis completa,Diptera,Tephritidae,Rhagoletis,, ,
Rhagoletis indifferens,Diptera,Tephritidae,Rhagoletis,,5,
Rhagoletis indifferens,Diptera,Tephritidae,Rhagoletis,,5,
Rhagoletis indifferens,Diptera,Tephritidae,Rhagoletis,,5,
Rhagoletis indifferens,Diptera,Tephritidae,Rhagoletis,,9,32.2
Rhagoletis indifferens,Diptera,Tephritidae,Rhagoletis,, ,
Rhagoletis indifferens,Diptera,Tephritidae,Rhagoletis,,5,
Rhagoletis mendax,Diptera,Tephritidae,Rhagoletis,, ,
Rhagoletis mendax,Diptera,Tephritidae,Rhagoletis,,4.7,31
Rhagoletis pomonella,Diptera,Tephritidae,Rhagoletis,,6.7,
Rhagoletis pomonella,Diptera,Tephritidae,Rhagoletis,,6.4,
Rhagoletis pomonella,Diptera,Tephritidae,Rhagoletis,, ,
Rhagoletis pomonella,Diptera,Tephritidae,Rhagoletis,,6.4,
Rhagoletis pomonella,Diptera,Tephritidae,Rhagoletis,,6.5,
Zonosemata electa,Diptera,Tephritidae,Zonosemata,,9.5,
Tipula subnodicornis,Diptera,Tipulidae,Tipula,,,
Chetodacus cucurbita,Diptera,Trypaneidae,Chetodacus,,,
Ecdyonurus dispar,Ephemeroptera,Heptageniidae,Ecdyonurus,,,
Ecdyonurus picteti,Ephemeroptera,Heptageniidae,Ecdyonurus,,,
Ecdyonurus venosus,Ephemeroptera,Heptageniidae,Ecdyonurus,,,
Rhithrogena hybrida,Ephemeroptera,Heptageniidae,Rhithrogena,,,
Tortopus incertus,Ephemeroptera,Polymitarcyidae,Tortopus,,,
Ceratina megastigmata,Hemiptera,Anthocoridae,Ceratina,,,
Orius albidipennis,Hemiptera,Anthocoridae,Orius,228.4,13.26,
Orius auteri,Hemiptera,Anthocoridae,Orius,242.84,10.51,
Orius insidiosus,Hemiptera,Anthocoridae,Orius,161.3,15.4,
Orius insidiosus,Hemiptera,Anthocoridae,Orius,, ,
Orius insidiosus,Hemiptera,Anthocoridae,Orius,, ,
Orius laevigatus,Hemiptera,Anthocoridae,Orius,, ,
Orius majusculus,Hemiptera,Anthocoridae,Orius,397.4,5.8,
Orius majusculus,Hemiptera,Anthocoridae,Orius,341.5,8.5,
Orius majusculus,Hemiptera,Anthocoridae,Orius,261.2,9.4,
Orius minutus,Hemiptera,Anthocoridae,Orius,281.09,10.35,
Orius santeri,Hemiptera,Anthocoridae,Orius,258.94,11.03,
Orius sauteri,Hemiptera,Anthocoridae,Orius,, ,
Orius sauteri,Hemiptera,Anthocoridae,Orius,, ,
Orius sauteri,Hemiptera,Anthocoridae,Orius,210.5,11.6,
Orius strigicollis,Hemiptera,Anthocoridae,Orius,281.6,9.98,
Orius tantillus,Hemiptera,Anthocoridae,Orius,, ,
Orius tantillus,Hemiptera,Anthocoridae,Orius,197.68,13.73,
Orius tantillus,Hemiptera,Anthocoridae,Orius,181.84,14.18,
Orius tristicolor,Hemiptera,Anthocoridae,Orius,, ,
Xylocoris flavipes,Hemiptera,Anthocoridae,Xylocoris,219.3,15.86,
Diplonychus japonicus,Hemiptera,Belostomatidae,Diplonychus,,,
Diplonychus major,Hemiptera,Belostomatidae,Diplonychus,,,
Jalysus spinosus,Hemiptera,Berytidae,Jalysus,,,
Amorbus obscuricornis,Hemiptera,Coreidae,Amorbus,,,
Anasa tristis,Hemiptera,Coreidae,Anasa,365.3,15.7,
Anasa tristis,Hemiptera,Coreidae,Anasa,414.92,14.59,33.33
Anasa tristis,Hemiptera,Coreidae,Anasa,527.6,14.3,
Clavigralla shadabi,Hemiptera,Coreidae,Clavigralla,330.51,13.15,
Clavigralla tomentosicollis,Hemiptera,Coreidae,Clavigralla,330.71,11.3,
Clavigralla tomentosicollis,Hemiptera,Coreidae,Clavigralla,, ,
Clavigralla tomentosicollis,Hemiptera,Coreidae,Clavigralla,, ,
Coreus marginatus,Hemiptera,Coreidae,Coreus,, ,
Gelonus tasmanicus,Hemiptera,Coreidae,Gelonus,, ,
Gerris buenoi,Hemiptera,Gerridae,Gerris,535.3,6.4,
Gerris comatus,Hemiptera,Gerridae,Gerris,486.1,8.9,
Gerris paludum insularis,Hemiptera,Gerridae,Gerris,489.4,12.6,
Gerris paludum insularis,Hemiptera,Gerridae,Gerris,493.1,12.6,
Gerris pingreensis,Hemiptera,Gerridae,Gerris,459.1,7.7,
Blissus leucopterus hirtus,Hemiptera,Lygaeidae,Blissus,, ,
Blissus leucopterus hirtus,Hemiptera,Lygaeidae,Blissus,, ,
Geocoris atricolor,Hemiptera,Lygaeidae,Geocoris,197.7,20.7,
Geocoris pallens,Hemiptera,Lygaeidae,Geocoris,204.3,20.2,
Geocoris punctipes,Hemiptera,Lygaeidae,Geocoris,,,
Geocoris punctipes,Hemiptera,Lygaeidae,Geocoris,,,
Geocoris punctipes,Hemiptera,Lygaeidae,Geocoris,,,
Geocoris punctipes,Hemiptera,Lygaeidae,Geocoris,,,
Geocoris punctipes,Hemiptera,Lygaeidae,Geocoris,, ,
Geocoris punctipes,Hemiptera,Lygaeidae,Geocoris,,,
Geocoris punctipes,Hemiptera,Lygaeidae,Geocoris,278.1,18.5,
Geocoris punctipes,Hemiptera,Lygaeidae,Geocoris,471.6,13.4,
Nysius huttoni,Hemiptera,Lygaeidae,Nysius,625,11.9,
Nysius vinitor,Hemiptera,Lygaeidae,Nysius,271.7,15.5,
Nysius vinitor,Hemiptera,Lygaeidae,Nysius,264.5,15.7,
Nysius vinitor,Hemiptera,Lygaeidae,Nysius,,15,
Oncopeltus fasciatus,Hemiptera,Lygaeidae,Oncopeltus,255.7,17.9,
Oncopeltus fasciatus,Hemiptera,Lygaeidae,Oncopeltus,255.1,18.2,
Oxycarenus hyalinipennis,Hemiptera,Lygaeidae,Oxycarenus,,,
Oxycarenus hyalinipennis,Hemiptera,Lygaeidae,Oxycarenus,,,
Oxycarenus hyalinipennis,Hemiptera,Lygaeidae,Oxycarenus,,,
Oxycarenus hyalinipennis,Hemiptera,Lygaeidae,Oxycarenus,,,
Oxycarenus hyalinipennis,Hemiptera,Lygaeidae,Oxycarenus,,,
Adelphocoris lineolatus,Hemiptera,Miridae,Adelphocoris,,,
Calocoris norvegicus,Hemiptera,Miridae,Calocoris,266.1,6.4,
Campylomma verbasci,Hemiptera,Miridae,Campylomma,,9.2,
Creontiades dilutus,Hemiptera,Miridae,Creontiades,263.1,13.4,
Cyrtorhinus lividipennis,Hemiptera,Miridae,Cyrtorhinus,359.05,9.85,
Lygocoris pabulirius,Hemiptera,Miridae,Lygocoris,584.98,4.11,
Lygus desertus,Hemiptera,Miridae,Lygus,304.7,11.9,
Lygus desertus,Hemiptera,Miridae,Lygus,298.2,12.2,
Lygus hesperus,Hemiptera,Miridae,Lygus,, ,
Lygus hesperus,Hemiptera,Miridae,Lygus,, ,
Lygus hesperus,Hemiptera,Miridae,Lygus,422.2,8.2,
Lygus hesperus,Hemiptera,Miridae,Lygus,346.1,12.2,
Lygus hesperus,Hemiptera,Miridae,Lygus,,11.1,
Lygus lineolaris,Hemiptera,Miridae,Lygus,, ,
Lygus lineolaris,Hemiptera,Miridae,Lygus,, ,34
Lygus lineolaris,Hemiptera,Miridae,Lygus,355,10,
Lygus lineolaris,Hemiptera,Miridae,Lygus,404.8,10.9,
Lygus lineolaris,Hemiptera,Miridae,Lygus,334.4,12.7,
Macrolophus caliginosus,Hemiptera,Miridae,Macrolophus,472,8.4,
Macrolophus pygmaeus,Hemiptera,Miridae,Macrolophus,491.4,5.1,
Macrolophus pygmaeus,Hemiptera,Miridae,Macrolophus,339,6.2,
Macrolophus pygmaeus,Hemiptera,Miridae,Macrolophus,371,7.2,
Macrolophus pygmaeus,Hemiptera,Miridae,Macrolophus,287,8.8,
Macrolophus pygmaeus,Hemiptera,Miridae,Macrolophus,348.6,5.68,
Macrolophus pygmaeus,Hemiptera,Miridae,Macrolophus,324,6.63,
Macrolophus pygmaeus,Hemiptera,Miridae,Macrolophus,378.83,7.05,
Macrolophus pygmaeus,Hemiptera,Miridae,Macrolophus,349,7.74,
Macrolophus pygmaeus,Hemiptera,Miridae,Macrolophus,282.81,8.39,
Macrolophus pygmaeus,Hemiptera,Miridae,Macrolophus,324,8.8,
Macrolophus pygmaeus,Hemiptera,Miridae,Macrolophus,439,8.68,
Pseudatomoscelis seriatus,Hemiptera,Miridae,Pseudatomoscelis,507.3,6.45,
Spanagonicus albofasciatus,Hemiptera,Miridae,Spanagonicus,,,
Spanagonicus albofasciatus,Hemiptera,Miridae,Spanagonicus,,,
Spanagonicus albofasciatus,Hemiptera,Miridae,Spanagonicus,,,
Nabis americoferus,Hemiptera,Nabidae,Nabis,350.4,12.3,
Nabis americoferus,Hemiptera,Nabidae,Nabis,334,12.8,
Nabis roseipennis,Hemiptera,Nabidae,Nabis,494.6,10.7,
Nabis roseipennis,Hemiptera,Nabidae,Nabis,474,11.2,
Nabis roseipennis,Hemiptera,Nabidae,Nabis,,,
Nabis rufusculus,Hemiptera,Nabidae,Nabis,481.7,11.6,
Acrosternum hilare,Hemiptera,Pentatomidae,Acrosternum,541.4,13.3,
Arma custos,Hemiptera,Pentatomidae,Arma,,,
Arma custos,Hemiptera,Pentatomidae,Arma,,,
Biprorulus bibax,Hemiptera,Pentatomidae,Biprorulus,410.7,15,
Cermatulus nasalis,Hemiptera,Pentatomidae,Cermatulus,396.2,14.1,
Dolycoris baccharum,Hemiptera,Pentatomidae,Dolycoris,505.6,10.6,
Dolycoris baccharum,Hemiptera,Pentatomidae,Dolycoris,295.5,12.8,
Dolycoris baccharum,Hemiptera,Pentatomidae,Dolycoris,285,13.54,
Dolycoris baccharum,Hemiptera,Pentatomidae,Dolycoris,260,14.1,
Dolycoris baccharum,Hemiptera,Pentatomidae,Dolycoris,276,14.6,
Eocanthecona furcellata,Hemiptera,Pentatomidae,Eocanthecona,349.6,13.5,
Euschistus conspersus,Hemiptera,Pentatomidae,Euschistus,525.3,12,37
Euschistus conspersus,Hemiptera,Pentatomidae,Euschistus,505.6,10.4,
Graphosoma lineatum,Hemiptera,Pentatomidae,Graphosoma,, ,
Chlorochroa uhleri,Hemiptera,Pentatomidae,Chlorochroa,,,
Nezara viridula,Hemiptera,Pentatomidae,Nezara,609.2,9.2,
Nezara viridula,Hemiptera,Pentatomidae,Nezara,582.6,11.5,
Nezara viridula,Hemiptera,Pentatomidae,Nezara,,15,
Oebalus pugnax,Hemiptera,Pentatomidae,Oebalus,358.3,13,
Oechalia schellenbergii,Hemiptera,Pentatomidae,Oechalia,338,11.9,
Piezodorus guildinii,Hemiptera,Pentatomidae,Piezodorus,, ,
Piezodorus hybneri,Hemiptera,Pentatomidae,Piezodorus,282.1,14.1,
Podisus acutissimus,Hemiptera,Pentatomidae,Podisus,316.8,12,
Podisus maculiventris,Hemiptera,Pentatomidae,Podisus,361.9,11.2,
Podisus maculiventris,Hemiptera,Pentatomidae,Podisus,353.5,11.5,
Podisus maculiventris,Hemiptera,Pentatomidae,Podisus,353.5,11.5,31.5
Podisus sagitta,Hemiptera,Pentatomidae,Podisus,326.5,12.5,
Podisus sagitta,Hemiptera,Pentatomidae,Podisus,296,13.3,
Podisus sagitta,Hemiptera,Pentatomidae,Podisus,326.5,12.52,34
Antilochus coqueberti,Hemiptera,Pyrrhocoridae,Antilochus,606.93,12.88,
Antilochus coqueberti,Hemiptera,Pyrrhocoridae,Antilochus,436.47,14.8,
Dysdercus fasciatus,Hemiptera,Pyrrhocoridae,Dysdercus,, ,
Dysdercus fasciatus,Hemiptera,Pyrrhocoridae,Dysdercus,, ,
Dysdercus fasciatus,Hemiptera,Pyrrhocoridae,Dysdercus,, ,
Pyrrhocoris apterus,Hemiptera,Pyrrhocoridae,Pyrrhocoris,, ,
Pristhesancus plagipennis,Hemiptera,Reduviidae,Pristhesancus,861,15.5,
Zelus renardii,Hemiptera,Reduviidae,Zelus,568.8,14.8,
Eurygaster integriceps,Hemiptera,Scutelleridae,Eurygaster,275.26,19.94,
Corythucha ciliata,Hemiptera,Tingidae,Corythucha,,,
Corythucha cydoniae,Hemiptera,Tingidae,Corythucha,404.1,11.1,
Corythucha cydoniae,Hemiptera,Tingidae,Corythucha,396.6,11.2,
Corythucha cydoniae,Hemiptera,Tingidae,Corythucha,396.6,11.2,
Corythucha morrilli,Hemiptera,Tingidae,Corythucha,189.7,15,
Stephanitis pyroides,Hemiptera,Tingidae,Stephanitis,479.5,9.3,
Stephanitis pyroides,Hemiptera,Tingidae,Stephanitis,482.7,9.3,
Stephanitis pyroides,Hemiptera,Tingidae,Stephanitis,479.5,9.4,
Stephanitis pyroides,Hemiptera,Tingidae,Stephanitis,359.8,12.7,
Stephanitis pyroides,Hemiptera,Tingidae,Stephanitis,351.2,12.8,
Stephanitis pyroides,Hemiptera,Tingidae,Stephanitis,354.4,12.8,
Stephanitis takeyai,Hemiptera,Tingidae,Stephanitis,433.6,8.2,
Stephanitis takeyai,Hemiptera,Tingidae,Stephanitis,427.6,8.5,
Stephanitis takeyai,Hemiptera,Tingidae,Stephanitis,379,9.1,
Stephanitis takeyai,Hemiptera,Tingidae,Stephanitis,371,9.3,
Tingis ampliata,Hemiptera,Tingidae,Tingis,,,
Microvelia douglasi,Hemiptera,Veliidae,Microvelia,198.6,15.2,
Microvelia horvathi,Hemiptera,Veliidae,Microvelia,207.7,14.5,
Microvelia kyushuensis,Hemiptera,Veliidae,Microvelia,222.5,15.8,
Adelges piceae,Homoptera,Adelgidae,Adelges,, ,
Adelges piceae,Homoptera,Adelgidae,Adelges,,,
Adelges piceae,Homoptera,Adelgidae,Adelges,,,
Adelges tsugae,Homoptera,Adelgidae,Adelges,, ,
Aleurocanthus woglumi,Homoptera,Aleyrodidae,Aleurocanthus,987,13.7,
Aleurotuberculatus takahashi,Homoptera,Aleyrodidae,Aleurotuberculatus,555.54,9.7,
Aleyrodes proletella,Homoptera,Aleyrodidae,Aleyrodes,299.1,8.9,
Bemisia argentifolii,Homoptera,Aleyrodidae,Bemisia,319.7,10.34,
Bemisia argentifolii,Homoptera,Aleyrodidae,Bemisia,351.83,10.02,
Bemisia argentifolii,Homoptera,Aleyrodidae,Bemisia,284.86,12.19,
Bemisia argentifolii,Homoptera,Aleyrodidae,Bemisia,250.46,12.99,
Bemisia argentifolii,Homoptera,Aleyrodidae,Bemisia,245.36,13.89,
Bemisia argentifolii,Homoptera,Aleyrodidae,Bemisia,222.6,12.71,
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,317.3,11.1,
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,472.6,8.3,
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,422.4,11.2,
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,327.3,10.2,
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,,14,
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,404,8.7,
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,404,8.06,
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,375.2,8.17,
Bemisia tabaci,Homoptera,Aleyrodidae,Bemisia,, ,
